Singlish,English
abit,a little
abuden,obviously
act blur,ignorant
afk,away at the moment
ah,!
aka,also known as
alamak,oh no
alr,already
asap,as soon as possible
atas,high class
b,be
barang barang,personal belongings
bcos,because
bcoz,because
becos,because
becoz,because
belanja,treat
bf,boyfriend
bodoh,idiot
boh chup,don't care
bo chup,don't care
bojio,didn't invite
boleh,possible
btw,by the way
brb,be right back
buay,cannot
catch no ball,don't understand
chao keng,feign sickness
cher,teacher
chin chai,anything
chiong,rush
chop chop,fast
chope,reserve
cmi,can't make it
cos,because
coz,because
cus,because
cuz,because
da bao,takeaway
damn,very
den,then
double confirm,confirm
dunno,don't know
dunnid,don't need
e,the
eeyer,disgusting
ex,expensive
eye power,freeload
gahmen,government
geh kiang,bite off more than you can chew
gf,girlfriend
gone case,doomed
gostan,reverse
hao lian,boast
heng,lucky
heng ah,luckily
ho liao,done
huat,prosper
idk,I don't know
idw,I don't want
ily,I love you
imo,in my opinion
jiak,eat
jialat,in trouble
jia lat,in trouble
jio,invite
kacau,disturb
kena,get
kiasu,afraid of losing
kopi,coffee
la,!
lah,!
lepak,relax
liddat,like that
liddis,like this
lol,that's funny
luan,messy
macam,like
mafan,troublesome
makan,eat
makcik,Ms
malu,embarrass
mata,police
mia,absent
mug,study
mus,must
muz,must
n,and
nia,only
np,no problem
nt,not
nvm,nevermind
omw,on my way
otw,on the way
oso,also
ownself,independently
paiseh,sorry
pai seh,sorry
pasar malam,night market
pon,play truant
pang seh,stood up
pai tao,stood up
photostat,photocopy
rabak,terrible
rn,right now
sabo,sabotage
see first,consider
sekali,what if
shiok,nice
sian,tired
smth,something
sibei,very
stead,get together
steady,ok
suay,unlucky
tahan,tolerate
ta pao,takeaway
ta pau,takeaway
tbc,to be confirmed
tbh,honestly
tio,get
tmi,too much information
tmr,tomorrow
thr,there
tldr,it was too long to read
ttyl,talk to you later
ulu,remote
uty,up to you
wat,what
wif,with
u,you
zai,very good
